X,Y,Name,description
30.50273,50.382231,"1202","<img src=""https://lh3.googleusercontent.com/xDKpMngXWO2DW4VvJ2cTves0WY_UpniGKA39hSW3LF5s1nej17-8cXW5xn9Kw0S1stQZK2wjtMyrrw3yP3EOXTnjIoBLkmUqe5aVQLhlY0DOnDCCggBM6tZlM2PrQo9pMryx"" height=""200"" width=""auto"" /><br><br>Назва: Чубушник звичайний ‘Низький’<br><br>Латинська назва: Philadelphus coronarius ‘Nana’<br><br>Діаметр: <br>Опис: Декоративна форма (культивар). Висота до 1,5 м. Зимо- та посхостійка. Не цвіте і не плодоносить. Світлолюбний але тіньовитривалий. Перспективний для використання на газонах та альпінаріях в різних типах декоративних зелених насаджень, особливов рядових посадках (живоплотах) та в якості солітеру (на газонах, в альпінаріях тощо).<br><br>Санітарний стан: <br>Екосистемні послуги: <br><br><img src=""https://lh5.googleusercontent.com/ucsagQBHy-w1GL7WOjre6Lm1d2GiRzVTD1MxPfFg_wnEOsyNIwKun5JNtfu7p4frbrVzTu4vOXnIrpWOHUssX2GeRN4dU5fSc6X2pVaiCSfvm_jr1t62QP9wVLVuAk_59fkp"" height=""200"" width=""auto"" />"
30.502775,50.382218,"1203","<img src=""https://lh4.googleusercontent.com/bGPmod7GFFc6eA3Tledcy18xoBph_c9pvrtAqOM-bKWzm0cqWNwP3lEPrlKRB7hwbHrriaLtN4kfzkK50gFYGoh3AhG41P3fIl-EpV8-bd_iOT19TE8Bzu7r3Xl0eLjLdkhMWg"" height=""200"" width=""auto"" /><br><br>Назва: Півонія деревовидна<br>Латинська назва: Paeonia suffruticosa Andr. <br><br>Діаметр: <br>Опис: ""Листопадний кущ заввишки 1-2 м, гіллястий, пагони товсті, блискучі, бруньки великі, червонуваті, листки двічі-тричі-перисторозсічені. Квітки поодинокі, діаметром 10-20 см, білі, рожеві, червоні, духмяні, з’являються в травні-червні. Плоди дозрівають у жовтні. В Україні культивується близько 200 років, трапляється по всій території. В хо-лодні зими може підмерзати, а тому кореневу систему варто вкривати її лис-тям. Витримує короткочасні морози до -25 С?. <br>Рекомендований для створення поодиноких і групових посадок у відповідних умовах по всій території країни.<br>Краще росте на свіжому, добре зволоженому ґрунті та ледь затінених місцях. Можна вирощувати в горщиках. <br>Природно поширений у Китаї, де росте на гірських схилах на відкритих і напівзатінених місцях.""<br><br>Санітарний стан: <br>Екосистемні послуги: <br><br><img src=""https://lh6.googleusercontent.com/EJnK5-S6ot4CQCv3yuGtqP8TfLgN6CGE1a4Nrzha-zO5xbZ_ZUxKvpf1YbupNY1e2znvs80w1YBf55Jyl9dYSK_Q4d9W8LuLq2llIvhimXp65e73ab6Z_GSMC3tgyqhbQHe4"" height=""200"" width=""auto"" /><br><br><img src=""https://lh5.googleusercontent.com/s-ixO4YClrk5iArMfYIWgilXxml3mh7OFLItyLRmFfrg3hGx0uaRHV4flYJGf6keGi4UHWcRpo8Jz_gwbWd9hr3iU0QmHMHenJur_ktPwr2A5a8RD6C3oNPPlWeybAOPfq2O"" height=""200"" width=""auto"" />"
30.502759,50.382209,"1204","<img src=""https://lh5.googleusercontent.com/L2ewRrJ54twsLw6_mkxnYtrx31jmwBV8A8JMyoS-4QcsqIxmA2CcFj1uNBuFpPZwwie3FyDYBheNgLTGtmOh_dNEbzBEvhrxzDC4E8ONw_cySHqv7ZgFxvbQaUw8PUE91sIM9w"" height=""200"" width=""auto"" /><br><br>Назва: Півонія деревовидна<br><br>Латинська назва: Paeonia suffruticosa Andr. <br><br>Діаметр: <br>Опис: ""Листопадний кущ заввишки 1-2 м, гіллястий, пагони товсті, блискучі, бруньки великі, червонуваті, листки двічі-тричі-перисторозсічені. Квітки поодинокі, діаметром 10-20 см, білі, рожеві, червоні, духмяні, з’являються в травні-червні. Плоди дозрівають у жовтні. В Україні культивується близько 200 років, трапляється по всій території. В хо-лодні зими може підмерзати, а тому кореневу систему варто вкривати її лис-тям. Витримує короткочасні морози до -25 С?. <br>Рекомендований для створення поодиноких і групових посадок у відповідних умовах по всій території країни.<br>Краще росте на свіжому, добре зволоженому ґрунті та ледь затінених місцях. Можна вирощувати в горщиках. <br>Природно поширений у Китаї, де росте на гірських схилах на відкритих і напівзатінених місцях.""<br><br>Санітарний стан: <br>Екосистемні послуги: <br><br><img src=""https://lh4.googleusercontent.com/iXonjW_f0XO3eaY1QN02DmOoSiQ-9lOcwlKFuGp_jlqUajuVkj0aMcT5AhCQ8LaBR6CVYTsjNOu3zTmhapuUe81iGewLO_sbZZCx8RzgecjtFcfr_k6pFT-kvvm9oKA5FpJBRA"" height=""200"" width=""auto"" /><br><br><img src=""https://lh5.googleusercontent.com/mWzVWoO1avRg6RmELBkDmnQn_0YX8VcZxiPWLQqACJiPWeKJmViDpZVX11QnTIBd0B4q35Nn1AfvTljZIKybqUFCGvkMKYAe_1R4a0AStBJrwoPm4qSvoas0sJR7GUhIdS5oPU4"" height=""200"" width=""auto"" />"
30.502761,50.382212,"1205","<img src=""https://lh5.googleusercontent.com/dEHDLZT8cAZsYdzvcDAHKvmmPu-JVpxVFp2QCpOr5PShoDxBQPXdLXCI6-0RBKKErxtRcbjMShw-XklQBq-zzgv27QbxbERTMKr1N-z01_FBYCAV0m7G8kQeGmK5SKtTySGm"" height=""200"" width=""auto"" /><br><br>Назва: Півонія деревовидна<br><br>Латинська назва: Paeonia suffruticosa Andr. <br><br>Діаметр: <br>Опис: ""Листопадний кущ заввишки 1-2 м, гіллястий, пагони товсті, блискучі, бруньки великі, червонуваті, листки двічі-тричі-перисторозсічені. Квітки поодинокі, діаметром 10-20 см, білі, рожеві, червоні, духмяні, з’являються в травні-червні. Плоди дозрівають у жовтні. В Україні культивується близько 200 років, трапляється по всій території. В хо-лодні зими може підмерзати, а тому кореневу систему варто вкривати її лис-тям. Витримує короткочасні морози до -25 С?. <br>Рекомендований для створення поодиноких і групових посадок у відповідних умовах по всій території країни.<br>Краще росте на свіжому, добре зволоженому ґрунті та ледь затінених місцях. Можна вирощувати в горщиках. <br>Природно поширений у Китаї, де росте на гірських схилах на відкритих і напівзатінених місцях.""<br><br>Санітарний стан: <br>Екосистемні послуги: <br><br><img src=""https://lh6.googleusercontent.com/q8xvp4qu66lcEwwNMsVAODtLXv9g5UsIvrEd4720ycmoaPZDR-q-tqakveBGduD03qSZMJsRbQtDPpH3ECfnP1PqZDB2PQ74muJYRBwsT1DKHwLy7KXyoXw6wtMD5fayaA-y"" height=""200"" width=""auto"" /><br><br><img src=""https://lh6.googleusercontent.com/KRvajavpgqI1phs7KNRKApW2Bw3GREQ1_u1FIuUsEcVMfI8HXCz_es8oOtNDuabhhcMJsVI9-ykPFfq-3pqCh3KrehUrndbhjGl4yVYIv-S-H7BI9PHdmAoPID_uA2pCBwPBsw"" height=""200"" width=""auto"" />"
30.502742,50.382169,"1206","<img src=""https://lh6.googleusercontent.com/3NWGg_0NZ4vKW628yxhl5MjciIxPWU289qtJjtaGXevDoFfDRv7OQkKJqTbuhX-JQOZBTYUc7AaMtbuTW61yilKntIzL4E1nyLyXUmp9E9_jDONMnCeHQt6XRvpiu8MaRWkyaoI"" height=""200"" width=""auto"" /><br><br>Назва: Тис ягідний<br><br>Латинська назва: Taxus baccata L.<br><br>Діаметр: 5<br>Опис: Вічнозелене дерево другої величини або кущ. На Кавказі найстаріші екземпляри досягають 20–25 м при діаметрі стовбура до 1,5 м. Відомі випадки, коли ці рослини доживали до 4000 років. Крона дуже густа, яйцеподібної форми, у старих дерев розлога широкопірамідальна, нерідко багатовершинна. Кора стовбура у дорослих екземплярів червонувато-сіра, товста, з численними тріщинами, відшаровується пластинками; у молодих дерев – гладка. Видз занесений до Червоної книги України.Деревина, кора і листя тиса містять алкалоїд (токсин) і тому отруйний для людини і багатьох тварин, хоча, наприклад, зайці і олені охоче їдять тис без шкоди для себе. Існувало повір'я, що людину можна отруїти, подавши їй вино в кубку з тиса, що насправді не є ймовірним. Чим старша хвоя тиса, тим вона отрутніша.Тис ягідний у давнину був поширений на дуже великій території, та майже повністю винищений людиною через свою міцну деревину, яка має сильні бактерицидні властивості – вона вбиває навіть мікроорганізми, які є в повітрі. Побутувала думка, що хата, у якій хоча б стельові балки зроблені з тиса, надійно захищена від хвороботворних інфекцій, що надзвичайно цінувалося з огляду на масові епідемії. Природно зростає на Кавказі, в Криму та на півдні Єврпи. <br>Санітарний стан: <br>Екосистемні послуги: <br><br><img src=""https://lh6.googleusercontent.com/X_GpHZ7rwacmPQQhWsHEZXpI22wpVtaORgbMOzVZJWEYNitetjhzprADaFg73jtLGtJKsxslo7eRlfczJN_F1wMAss-r_l767qAMIHb_HCChuWC2x0UuTPWsh20wM8uV-3WGRg"" height=""200"" width=""auto"" /><br><br><img src=""https://lh5.googleusercontent.com/2otMpK4LtJmnPv-9buku3co4EMevOGlQeKANE9P-z40QU61IJqLCT_SA-DhyZHz3h7e32nYA_OrfAkb7xrhiIBzU_FW-uNTbxSCs6WCx5IVHjrI5T_U0jf1YX1kk1vzQc50i4A"" height=""200"" width=""auto"" />"
30.502662,50.382202,"1207","<img src=""https://lh5.googleusercontent.com/dizyanCd9OQ37MDMzvBZvQvAv6SC5q2lrDB-rEcQsOgjLwjJBp3kYN6OOzw2dtRPSFHJT1nQGwVXWM5LTtdWocuJx0jQAdCM512SalHb3HBoZXUxBx3oSy59L0pIJrraum5xuog"" height=""200"" width=""auto"" /><br><br>Назва: Ялина європейська<br><br>Латинська назва: Picea abies (L.) Karst.<br><br>Діаметр: 19<br>Опис: Кора сіра або червонувато-бура з дугоподібними вертикальними тріщинами або лусками. Молоді пагони зелені з загостреними буруватими бруньками. Хвоя розміщена почергово, шорстка, колюча, чотиригранна (1,3-2,5 см завдовжки), загострена, блискуча, тримається 5-6 (12) років. Тіньовитривала, морозостійка рослина. Танідоносна, деревинна, смолоносна, лікарська, медоносна, жироолійна, ефіроолійна, вітамінозна, кормова і декоративна рослина. Поширена в Карпатах, рідше у Прикарпатті, місцями в західному та лівобережному Поліссі, західному і волинському Лісостепу.<br>Санітарний стан: <br>Екосистемні послуги: Приріст фітомаси - 4,46 кг/рік<br>Депонування вуглецю - 2,23кгС/рік-1,87 грн/рік<br>Акумулювання енергії -79,74 МДж - 6,06 грн/рік<br>Продукування кисню - 1,32 кг/рік <br><br><img src=""https://lh3.googleusercontent.com/6-_6v00noVsaoxTYLgsPGzKKj5TKWp1c4d60QCN5Gp33ruVQaw_93C4E45wuRfGgMMt3325qPGredYrD9IKifxVHvvuEm-Gxwa0W7-KNEIXdFVMvcECy0jg3RixGTnKlYbfUtg"" height=""200"" width=""auto"" /><br><br><img src=""https://lh5.googleusercontent.com/x5czctlvmsIAmsKsmDa4VjnfpyoUydQOwW2D2eTxiKe5ESR9zrI8IqgzjyUmaSvMFsPDpBacnbHuaudXyg7AnpcIUqo2GEoj1E0u1a_TzYXHsV91f5SA3i7gBjYGIojHqI6E"" height=""200"" width=""auto"" />"
30.502661,50.382181,"1208","<img src=""https://lh4.googleusercontent.com/Rfx2Q1h0Us0qAw8284r1iuQIia-HJawwin5FT0ifTfCh-XVe2KX4gAugDhSJraF5fuqSRBUwSVplLZ5xi9RlbCTVvLt3-5vkxAOIjlH6LC62fhEOdrV2EIX7U0ECC_bg7bxeQg"" height=""200"" width=""auto"" /><br><br>Назва: Ялина європейська<br><br>Латинська назва: Picea abies (L.) Karst.<br><br>Діаметр: 8<br>Опис: Кора сіра або червонувато-бура з дугоподібними вертикальними тріщинами або лусками. Молоді пагони зелені з загостреними буруватими бруньками. Хвоя розміщена почергово, шорстка, колюча, чотиригранна (1,3-2,5 см завдовжки), загострена, блискуча, тримається 5-6 (12) років. Тіньовитривала, морозостійка рослина. Танідоносна, деревинна, смолоносна, лікарська, медоносна, жироолійна, ефіроолійна, вітамінозна, кормова і декоративна рослина. Поширена в Карпатах, рідше у Прикарпатті, місцями в західному та лівобережному Поліссі, західному і волинському Лісостепу.<br>Санітарний стан: <br>Екосистемні послуги: Приріст фітомаси - 1,43 кг/рік<br>Депонування вуглецю - 0,72кгС/рік-0,60 грн/рік<br>Акумулювання енергії -25,60 МДж - 1,95 грн/рік<br>Продукування кисню - 1,14 кг/рік <br><br><img src=""https://lh4.googleusercontent.com/cy8vAvT5bFVaioV9dZAy4Seorpejdx73QlXpWrMVULAaIqMOlRUReJiyOyTJNpnG3eQE-S0YsCFclX6jRRRL-gPtjAqNfJqGLu3b7W9BgBd1F8gFKHxov73O6QddKeehbZCHQA"" height=""200"" width=""auto"" /><br><br><img src=""https://lh6.googleusercontent.com/LYc0rhVx9SGPDSye5ANOHGwzvReeZ2Nx39ryFjYzQqJ332EmomU14TWYnrFAf3rZ-WpR3E8d5zrs6-wjsg3rPyFfRn2oQ_xNP-phV2uRxAm_II6lOex8CwVpeqN6uxfxN40_P44"" height=""200"" width=""auto"" />"
30.502625,50.382178,"1209","<img src=""https://lh6.googleusercontent.com/F7CgMMnq08zXpkOuFAmpsKE-aRFAWtEFwIU6BESW3p-CRthP1ZYiKcxiZrxwphYGvV5bdhyBNgsklwZ575LKKJQN8Yg3qmP1GMbPI3p6JPfXKdaeLnNoZBePD9jhsGTidG4CkA"" height=""200"" width=""auto"" /><br><br>Назва: Ялина європейська<br><br>Латинська назва: Picea abies (L.) Karst.<br><br>Діаметр: 26<br>Опис: Кора сіра або червонувато-бура з дугоподібними вертикальними тріщинами або лусками. Молоді пагони зелені з загостреними буруватими бруньками. Хвоя розміщена почергово, шорстка, колюча, чотиригранна (1,3-2,5 см завдовжки), загострена, блискуча, тримається 5-6 (12) років. Тіньовитривала, морозостійка рослина. Танідоносна, деревинна, смолоносна, лікарська, медоносна, жироолійна, ефіроолійна, вітамінозна, кормова і декоративна рослина. Поширена в Карпатах, рідше у Прикарпатті, місцями в західному та лівобережному Поліссі, західному і волинському Лісостепу.<br>Санітарний стан: <br>Екосистемні послуги: Приріст фітомаси - 7.75 кг/рік<br>Депонування вуглецю - 3.88 кгС/рік, 3.26  грн/рік<br>Акумулювання енергії - 138.63 МДж - 10.54 грн/рік<br>Продукування кисню - 2.02кг/рік <br><br><img src=""https://lh5.googleusercontent.com/d9I_-AtbHwX4r6_HV4fptKF2EI4vBrVZ20TEtBbY6DIf-rVVrDG65V_U_E4XCv7QZ6dGC82mb_4UXI7NlGjQAibGrErpaJXheq7ovDUjd6i-G8E7YicGqx4q7NX2Iv_WU7YROg"" height=""200"" width=""auto"" /><br><br><img src=""https://lh4.googleusercontent.com/VrVTe23oMga_app3GjJUVxEZWdTS4i0S73dogK3XVp_UugOMxKa2RNAYmxyerCVr0ktsO0-E6QICEVFrmJhG2vHusMZcib6V_abvsNGpKzslI6eqX_039SVayPoEGuyJBbfe"" height=""200"" width=""auto"" />"
30.502565,50.382147,"1211","<img src=""https://lh5.googleusercontent.com/WPBGksuttRw2FGE1EY-FYe1EEJ4olIfXPmQaU6RWAxwh1lvwjrNYl4Dp9SgXlH2KxbjoY-FuVH-WJOlxHoXfXfJVsuCqz2fuv8bBiQOxnyvvEcpimalMHQixWNP0NbggxMOfKw"" height=""200"" width=""auto"" /><br><br>Назва: Клен польовий<br><br>Латинська назва: Acer campestre L.<br><br>Діаметр: 1<br>Опис: Дерево 4-15 м заввишки, рідше — високий кущ з бурувато-сірою тріщинуватою корою і розлогою тінистою кроною. Пагони жовтувато-коричневі, інколи а крилоподібними пробковими наростами; бруньки невеликі. Росте в другому ярусі або підліску листяних лісів, на галявинах. Тіньо- і солевитривала, теплолюбна рослина. Цвіте у квітні -травні. У культурі часто трапляється у полезахисних смугах і парках. Медоносна, деревинна, харчова, кормова, олійна, смолоносна, декоративна й фітомеліоративна рослина. Листя придатне на корм домашнім тваринам, особливо охоче його поїдають кози; гілки з листками можна силосувати. Листки містять смолу (20,5 %) і каучук (0,22 %). Використовують у зеленому будівництві для живоплотів, у вуличних насадженнях.Поширений майже на всій території України, крім крайніх північних районів. <br>Санітарний стан: <br>Екосистемні послуги: Приріст фітомаси-0,21 кг/рік<br>Депонування вуглецю-0,10 кгС/рік - 0,09 грн/рік<br>Акумулювання енергії-3,89 МДж 0,29 грн/рік<br>Продукування кисню-0,30 кг/рік<br><br><img src=""https://lh4.googleusercontent.com/zGyS59OCAs8qe2K9lTpuXIKP4F9B4k0V577zAWTEE6LrHa0QyLKDG5ONM0cw3JqXDFeuH_js_7UtSXxYWLuPWR9bm5bvr0ZGQMIUU3jV0Ye-dtJWmJpXdYV_c8aMq8Js4tixxg"" height=""200"" width=""auto"" />"
30.502632,50.382113,"1212","Назва: Клен бородавчастий<br><br>Латинська назва: Acer barbinerve Maxim.<br>Діаметр: 5<br>Опис: Листопадний чагарник або невелике дерево до 7 м у висоту. Кора сірувато-жовта або сірувато-коричнева, рівна. Молоді пагони опушені, на другий рік стають майже гладкими і приймають тьмяний червоно-коричневий колір. Нирки парні.Листя супротивні, звужені, молоде листя опушене, потім стає гладким, черешок 4-6 см. Суцвіття з'являються з безлистних нирок, квітконіжка 1-2 см, тонка неопушена. Пелюсток 4, ромбічно-овальних, трохи коротших ніж чашолистки. Гладкі і мають приблизно ту ж довжину як чашолистки тичинок теж 4, в жіночих квітках відсутні. Цвіте в  квітні, плодоносить в серпні-вересні.<br>Санітарний стан: <br>Екосистемні послуги: Приріст фітомаси-0,73 кг/рік<br>Депонування вуглецю-0,37 кгС/рік - 0,31 грн/рік<br>Акумулювання енергії- 13,12 МДж - 0,99 грн/рік<br>Продукування кисню-0,39 кг/рік"
