X;Y;Name;link_4;species_5;DBH;Приріст фітомаси (кг/рік);Депонування вуглецю (кг С/рік);Акумулювання енергії (МДж/рік);Продукування кисню (кг/рік);Вартість вуглецю (грн/рік);Вартість енергії (грн/рік);des_3;id;Приріст фітомаси;species;Rare;Type;Diameter;Y_new
30,50108;50,383128;2274;https://lh4.googleusercontent.com/4okYLMcxk2ZjRqWwSwU8WkEcRQA4NRYxYrlZjieGCace9oNl2DYC78-ZsfIUxu2GKh2_SoPOWluXll2Sl5P0uJxCDPFW_uzQqsW_oHOQ9ept44Ex87I0yw_5EhD6nR1aIRiM   ;   Клен Червоний  ;8;2,35;1,17;42,13;1,2;0,98;3,2;Опис: Дерево до 40 м заввишки з тонкою темно-сірою корою, яка відщаровується. Молоді пагони голі, оливково-зелені або червонуваті. В Уккраїні культивується у ботанічних садах, дендропарках, парках. Зимо- та посухостійкий. Природно поширений у Північній Америці.    ;1;2,35;Клен Червоний;екзот;листяне;тонке;50,383058
30,50109;50,383148;2275;https://lh4.googleusercontent.com/pffEHTkwaLInuDJArYKhkUfEli5_RmWAJpSMrvKbjTDmh8useVbAGx-SCP5a3Ts3D7E6iRjNrpvqihdXoVsjmcE2I4ZuvjA5poHlHkeqLUwbmhhCIldYTBnhG0w3jZqeQSFK   ;   Клен червоний  ;9;2,85;1,42;50,92;1,54;1,2;3,87;Опис: Дерево до 40 м заввишки з тонкою темно-сірою корою, яка відщаровується. Молоді пагони голі, оливково-зелені або червонуваті. В Уккраїні культивується у ботанічних садах, дендропарках, парках. Зимо- та посухостійкий. Природно поширений у Північній Америці.                         ;2;2,85;Клен червоний;екзот;листяне;середнє;50,383078
30,501172;50,383166;2276;https://lh5.googleusercontent.com/nIqW1lGNlOm6nvEVvuPhKrMKLrsOfEhcJBHDvS1VHsGuU8fTsA4bEJrDJbfhE8504hgBGznw5TLa42HcTKvtMyL_eSszba47kFjcSErEvjhAWzvOFcnw82YDUM9yHGdOSwpneA   ;   Клен монпелійський   ;8;2,36;1,18;42,14;1,2;0,99;3,2;Опис: Дерево до 8 м висотою з кулястою кроною та голими пагонами. Листки трьохлопатеві з трьома головними жилками. Росте добре. Цілком зимо- та посухостійкий. В Україні культивується убільшості ботанічних садів та в багатьої дендропарках і парках. Природний ареал - Західна Європа, Північна Африка.   ;3;2,36;Клен монпелійський;екзот;листяне;тонке;50,383096
30,501269;50,383149;2277;https://lh6.googleusercontent.com/rSWHmLIgbGgTDzvVds0OYDhxr9vEjKJ6BMm7B1Y11yHZVGp8PGWSfP6MgBVnHRSuKnh-HMt87G_7T_XSEns_mQ7x-MbGWsoqWT-W-Ry7oP064odCUp4uL4EpXe9-u0yPo_ZnvA   ;   Клен монпелійський   ;13;4,44;2,22;79,36;1,84;1,86;6,03;Опис: Дерево до 8 м висотою з кулястою кроною та голими пагонами. Листки трьохлопатеві з трьома головними жилками. Росте добре. Цілком зимо- та посухостійкий. В Україні культивується убільшості ботанічних садів та в багатьої дендропарках і парках. Природний ареал - Західна Європа, Північна Африка.   ;4;4,44;Клен монпелійський;екзот;листяне;середнє;50,383079
30,501297;50,383154;2278;https://lh6.googleusercontent.com/oscVstQ32E_Lk4qjicu4QQwIv89bXrsphnSurG8TbI4_vr5L71TpRlOfv5ewNBWO52DCyPPS8ntCiS5eMjguHfUW8KfV9_0uHPDvqRzFYYBUiHOLeHnVvf0VsQ6TGlwSZXxC   ;   Клен монпелійський   ;7;1,69;0,84;30,19;0,91;0,71;2,29;Опис: Дерево до 8 м висотою з кулястою кроною та голими пагонами. Листки трьохлопатеві з трьома головними жилками. Росте добре. Цілком зимо- та посухостійкий. В Україні культивується убільшості ботанічних садів та в багатьої дендропарках і парках. Природний ареал - Західна Європа, Північна Африка.   ;5;1,69;Клен монпелійський;екзот;листяне;тонке;50,383084
30,50128;50,38319;2279;https://lh6.googleusercontent.com/vj0RNWhLevA40DNkGf5wXr9HxO_yMXCKOdk0geSQSPP0Z2WPSrTECEJ74jBsn5USywgs7sjLG4Qtp7wa6o23Uxkl8vyMKnSrfqZ-wi-9NZmrQ0KQkcfnijAhLqVnVx4uF1grvPc   ;   Клен червоний  ;14;4,61;2,31;82,49;1,81;1,94;6,27;Опис: Дерево до 40 м заввишки з тонкою темно-сірою корою, яка відщаровується. Молоді пагони голі, оливково-зелені або червонуваті. В Уккраїні культивується у ботанічних садах, дендропарках, парках. Зимо- та посухостійкий. Природно поширений у Північній Америці.    ;6;4,61;Клен червоний;екзот;листяне;середнє;50,38312
30,501241;50,383201;2280;https://lh6.googleusercontent.com/jWaMKuQfqsUkYOjj1xkEf0sKPKGLG8BgOFNSeBqoAdwWiPeqd8pbG5G7eN51-b0Ziot0yeuXx_FPz2vXHNTJvrTpEXVqdOtFo4Gb2GX89jiKh9kAz1U9EUbmanJ1GdCqYVLLrg   ;   Крушина ламка  ;6;;;;;;;Опис: Кущ 1,3 м заввишки з гладенькою, майже чорною корою, гілки тонкі, без колючок, молоді пагони червоно-коричневі з ланцетними білими сочевичками. Листки чергові, черешкові, овальні або оберненояйцеподібні (до 6 см завдовжки) з шістьма-вісьмома косими, паралельними жилками по боках серединної жилки. Тіньовитривала рослина. Цвіте у травні червні. Росте в підліску хвойних, мішаних і листяних лісів, у заростях чагарників, по берегах водойм, боліт, стариць, на вологих луках. Добрий медонос, цвіте протягом літа. Мед крушини запашний, темніший від малинового, крупнозернистий. На крушині інколи з'являється падь. Кора і недостиглі плоди дають жовту, бурякову, коричневу і чорну фарби, стиглі плоди — зелену й фіолетову. Кора містить таніди, придатні для дублення шкур. Поширена майже по всій Україні, в степових районах тільки в долинах річок.  ;7;;Крушина ламка;місцевий;чагарник;тонке;50,383131
30,500958;50,383107;2281;https://lh5.googleusercontent.com/gTFFAP67o6d175qiKj9IFX341EJogHpkecw9mfqvDOXMAYKMCez4l6K_6Wu1SQcBPAuSa7dI-q2Adeao2DPYIqkcnR1XZAzbZIsXs_lBD0hkTEhiOFcDrRFaEkFchL5ark1_   ;   Ялина європейська  ;36;0,52;5,26;188,14;2,82;4,42;14,3;Опис: Кора сіра або червонувато-бура з дугоподібними вертикальними тріщинами або лусками. Молоді пагони зелені з загостреними буруватими бруньками. Хвоя розміщена почергово, шорстка, колюча, чотиригранна (1,3-2,5 см завдовжки), загострена, блискуча, тримається 5-6 (12) років. Тіньовитривала, морозостійка рослина. Танідоносна, деревинна, смолоносна, лікарська, медоносна, жироолійна, ефіроолійна, вітамінозна, кормова і декоративна рослина. Поширена в Карпатах, рідше у Прикарпатті, місцями в західному та лівобережному Поліссі, західному і волинському Лісостепу.  ;8;0,52;Ялина європейська;місцевий;хвойне;велике;50,383037
30,500963;50,383058;2282;https://lh5.googleusercontent.com/cuG7j7ekTqfxtBhFYRKlxzIa2fknpUAywIeqDGDdiZhow1KyiQea--EGUb3x_F7JTLgZ0QGKFeOgTKXVMEyt83n3B94pSvhczHvSpXIPZoXmYoo-oylKDRhTLY0p4lfcBNwWJQ   ;   Клен польовий  ;23;6,68;3,34;119,5;2,4;2,8;9,08;"Опис: Дерево 4-15 м заввишки, рідше — високий кущ з бурувато-сірою тріщинуватою корою і розлогою тінистою кроною. Пагони жовтувато-коричневі, інколи а крилоподібними пробковими наростами; бруньки невеликі. Росте в другому ярусі або підліску листяних лісів, на галявинах. Тіньо- і солевитривала, теплолюбна рослина. Цвіте у квітні -травні. У культурі часто трапляється у полезахисних смугах і парках. Медоносна, деревинна, харчова, кормова, олійна, смолоносна, декоративна й фітомеліоративна рослина. Листя придатне на корм домашнім тваринам, особливо охоче його поїдають кози; гілки з листками можна силосувати. Листки містять смолу (20,5 %) і каучук (0,22 %). Використовують у зеленому будівництві для живоплотів, у вуличних насадженнях.Поширений майже на всій території України, крім крайніх північних районів.   ";9;6,68;Клен польовий;місцевий;листяне;велике;50,382988
30,500984;50,383005;2283;https://lh5.googleusercontent.com/mESWZ1wGlmGSUZneBF4cV-Pd4pHNNpqbSsk4pMfaUgVh5M65LUFpYS3NDonex-bcxigurSNzdF1UhsZRvcLpNACSu2TWHKPedOp6AvFM-nvw6O6bEI7g2izUQy6icbGGlBeQ   ;   Клен польовий  ;32;4,19;7,09;253,88;4,75;5,96;19,29;"Опис: Дерево 4-15 м заввишки, рідше — високий кущ з бурувато-сірою тріщинуватою корою і розлогою тінистою кроною. Пагони жовтувато-коричневі, інколи а крилоподібними пробковими наростами; бруньки невеликі. Росте в другому ярусі або підліску листяних лісів, на галявинах. Тіньо- і солевитривала, теплолюбна рослина. Цвіте у квітні -травні. У культурі часто трапляється у полезахисних смугах і парках. Медоносна, деревинна, харчова, кормова, олійна, смолоносна, декоративна й фітомеліоративна рослина. Листя придатне на корм домашнім тваринам, особливо охоче його поїдають кози; гілки з листками можна силосувати. Листки містять смолу (20,5 %) і каучук (0,22 %). Використовують у зеленому будівництві для живоплотів, у вуличних насадженнях.Поширений майже на всій території України, крім крайніх північних районів.   ";10;4,19;Клен польовий;місцевий;листяне;велике;50,382935
